项目简称,项目编号,项目名称
TLFDDB,F2203B01,吐鲁番旅游现代有轨电车（一期）项目车辆厂内新造
WHL16,B2008B01,武汉地铁16号线项目新造（0001-0023） 
WHL19,B2139B01,武汉市轨道交通 19 号线工程车辆系统采购项目车辆厂内新造
WHL19,B2139B90,武汉市轨道交通 19 号线工程车辆系统采购项目（TCM转向架）
WHL21,174600,武汉地铁21号线项目新造（0001-0025） 
WHL6,167619,武汉市轨道交通6#线一期分包项目配件生产-本部
WHL8S,B17C0101,武汉市轨道交通8号线二期、三期项目新造（0001-0027） 
WHMLXG,B2427B01,武汉轨道交通新港线西延线车辆厂内新造
WHMLXG,B2428B01,武汉轨道交通新港线一期车辆厂内新造
WLMQL1,170800,乌鲁木齐地铁1号线项目新造（0001-0027）
WXL4,B19B0601,无锡地铁4号线一期项目新造 
WXL4S,B2434B01,无锡地铁4号线二期工程车辆采购项目车辆厂内新造
WXSL1,B2144B01,无锡至江阴城际PPP项目车辆厂内新造
WYLT,F2201B01,韩国首尔蔚礼线有轨电车项目车辆厂内新造
YCSRT2.0,M2001B01,盐城SRT示范线项目（SRT2.0）新造（0001） 
YCSRT2.1,M2002B01,盐城SRT示范线项目（SRT2.1）新造（0001-0004） 
ZJKDDB,F1901B01,张家口崇礼太子城有轨电车项目
ZJTL1,6.10102E+11,株机自主化低地板有轨电车项目
ZJTL2,175290,五模块储能式现代有轨电车试制项目
ZNJD,X2348T00,基于有轨电车的控制融合和智能节点技术研究领料
ZSCF,61010192,200km/h中速磁浮车辆研制
ZSSYT,61010193,200km/h中速磁浮悬浮试验台
ZZL2S,175700,郑州市地铁2#线增购项目新造（0027-0041）
ZZL5,B19B0301,郑州地铁5号线增购项目新造 
ZZL5S,B19B0302,郑州地铁5号线增购项目（本部）新造 
